target,direction,run_id,model,selected,lookback_weeks,forward_weeks,retrain_days,target_thr_bp,regime_strength_min,accuracy,auc,hit@60,cov@60,hit@70,cov@70,composite,rank_in_group
us_ig_oas_xl,persist,L4W_F4W_R63d_T0bp_S0.0,logreg,False,4,4,63,0.0,0.0,0.45923537540304,0.5301772103045701,0.4241071428571428,0.6190695532012898,0.4009433962264151,0.2929525564256103,0.6693762014946231,76.0
us_ig_oas_xl,persist,L4W_F4W_R63d_T0bp_S0.0,rf,False,4,4,63,0.0,0.0,0.6264394288346384,0.5180683755186055,0.6646341463414634,0.6043298019345924,0.7213114754098361,0.2809765085214187,0.726154798112905,63.0
us_ig_oas_xl,persist,L4W_F4W_R63d_T0bp_S0.0,xgb,False,4,4,63,0.0,0.0,0.6752648549055734,0.5331639490131754,0.7035398230088495,0.8327959465684016,0.723388848660391,0.6361123906034085,0.8455474327279424,43.0
us_ig_oas_xl,persist,L4W_F4W_R63d_T10bp_S0.0,et,False,4,4,63,10.0,0.0,0.5311653116531165,0.5268934911242604,0.5063291139240507,0.2140921409214092,,0.0,0.5840093167203861,82.0
us_ig_oas_xl,persist,L4W_F4W_R63d_T10bp_S0.0,gbm,False,4,4,63,10.0,0.0,0.5853658536585366,0.610103550295858,0.6050420168067226,0.6449864498644986,0.6090909090909091,0.2981029810298103,0.8481927406552172,42.0
us_ig_oas_xl,persist,L4W_F4W_R63d_T10bp_S0.0,lgbm,False,4,4,63,10.0,0.0,0.5392953929539296,0.6061242603550295,0.5491525423728814,0.7994579945799458,0.5867346938775511,0.5311653116531165,0.8722275941694327,35.0
us_ig_oas_xl,persist,L4W_F4W_R63d_T10bp_S0.0,logreg,False,4,4,63,10.0,0.0,0.5799457994579946,0.558905325443787,0.5575757575757576,0.4471544715447154,0.5576923076923077,0.1409214092140921,0.6982529946601241,68.0
us_ig_oas_xl,persist,L4W_F4W_R63d_T10bp_S0.0,rf,False,4,4,63,10.0,0.0,0.5149051490514905,0.5498224852071005,0.6407766990291263,0.2791327913279133,0.8461538461538461,0.035230352303523,0.6481647183335738,78.0
us_ig_oas_xl,persist,L4W_F4W_R63d_T10bp_S0.0,xgb,False,4,4,63,10.0,0.0,0.5663956639566395,0.6227514792899408,0.56957928802589,0.8373983739837398,0.575,0.6504065040650406,0.9197819951572296,22.0
us_ig_oas_xl,persist,L8W_F2W_R63d_T0bp_S0.0,et,False,8,2,63,0.0,0.0,0.7950481430536451,0.57736241499139,0.8188134687332977,0.8578633654287025,0.8550474547023296,0.5314076111875287,0.9829191411568232,8.0
us_ig_oas_xl,persist,L8W_F2W_R63d_T0bp_S0.0,gbm,False,8,2,63,0.0,0.0,0.7592847317744154,0.5552087414075425,0.7805885389778007,0.8881247134342045,0.8020334928229665,0.7666208161393856,0.9401127382017672,18.0
us_ig_oas_xl,persist,L8W_F2W_R63d_T0bp_S0.0,lgbm,False,8,2,63,0.0,0.0,0.8005502063273727,0.5643740294292551,0.807909604519774,0.9738651994497936,0.8155291790306627,0.9270976616231088,1.008420721084735,4.0
us_ig_oas_xl,persist,L8W_F2W_R63d_T0bp_S0.0,logreg,False,8,2,63,0.0,0.0,0.5405777166437414,0.5810192296310492,0.5453047775947282,0.5566254011921137,0.5429769392033543,0.218707015130674,0.7573762814493686,58.0
us_ig_oas_xl,persist,L8W_F2W_R63d_T0bp_S0.0,rf,False,8,2,63,0.0,0.0,0.749656121045392,0.5758264119250205,0.821681068342498,0.5836772122879413,0.8524046434494196,0.2764786795048143,0.85199075253647,40.0
