target,run_id,n_features,features
spread_ktb_5_30,L12W_F2W_R63d_T10bp_S0.0,285,"lvl_ktb_1y,lvl_ktb_3y,lvl_ktb_5y,lvl_ktb_10y,lvl_ktb_20y,lvl_ktb_30y,lvl_cd_91d,slope_10y2y,slope_30y10y,slope_30y5y,slope_10y3y,bfly_3_5_10,ktb3y_base_spread,cd_base_spread,d5_ktb_1y,d20_ktb_1y,d60_ktb_1y,z20_ktb_1y,z60_ktb_1y,z252_ktb_1y,d5_ktb_3y,d20_ktb_3y,d60_ktb_3y,z20_ktb_3y,z60_ktb_3y ..."
us_10y_xl,L12W_F2W_R63d_T10bp_S0.0,80,"z60_sp_corp_aa_3y,kr_growth_ip_total_mom,kr_growth_cli_lead_mom,z60_cd_91d,d20_us_spr_10_30,d20_us_5y,d20_yh_gold,z252_cd_91d,z60_eurkrw,kr_growth_ip_total_yoy,lvl_us_2y,z60_us_spr_2_10,z252_slope_10y3y,d20_sp_corp_aa_3y,z60_tedrate,z60_slope_10y3y,z60_us_30y,z60_us_spr_10_30,z60_bfly_3_5_10,sp_corp_bbb_3y,z60_us_ig_oas_xl,z60_sp500,d20_slope_10y3y,z252_cd_base_spread,z60_us_ffr ..."
us_ig_oas_xl,L12W_F2W_R63d_T10bp_S0.0,80,"z60_brent,lvl_brent,vol20_ktb_10y,d20_bfly_3_5_10,d20_sp_kepco_5y,z60_dxy_broad,z60_sp_corp_bbb_3y,lvl_tedrate,d20_wti,d20_brent,d20_us_10y_xl,z60_slope_10y3y,d5_slope_10y3y,ret20_kospi,z60_slope_30y10y,z60_bfly_3_5_10,d20_tedrate,vol20_kospi,lvl_cd_91d,d20_us_10y3m,z60_yh_gold,z60_sp500,d20_sp_indfin_1y,d20_us_ig_oas_xl,z252_ktb_1y ..."
us_spr_10_30,L12W_F2W_R63d_T10bp_S0.0,285,"lvl_ktb_1y,lvl_ktb_3y,lvl_ktb_5y,lvl_ktb_10y,lvl_ktb_20y,lvl_ktb_30y,lvl_cd_91d,slope_10y2y,slope_30y10y,slope_30y5y,slope_10y3y,bfly_3_5_10,ktb3y_base_spread,cd_base_spread,d5_ktb_1y,d20_ktb_1y,d60_ktb_1y,z20_ktb_1y,z60_ktb_1y,z252_ktb_1y,d5_ktb_3y,d20_ktb_3y,d60_ktb_3y,z20_ktb_3y,z60_ktb_3y ..."
us_spr_2_10,L12W_F2W_R63d_T10bp_S0.0,80,"z60_kospi,d20_us_bei_5y5y,d20_us_2y,ret20_jpykrw,z60_tedrate,d60_ktb_20y,lvl_vixcls,z252_ktb3y_base_spread,d20_slope_10y3y,d20_brent,d60_slope_10y3y,z60_sp_indfin_1y,d5_yh_gold,d60_ktb_10y,d5_ktb_1y,vol20_ktb_3y,d5_brent,d20_vixcls,d20_yh_dxy,kr_growth_ip_total_lvl,z60_cd_91d,z252_cd_91d,z60_us_5y,z60_yh_gold,kr_sent_csi_total_mom ..."
us_spr_5_30,L12W_F2W_R63d_T10bp_S0.0,80,"fgn_kospi_cum20,z252_bfly_3_5_10,z60_sp_corp_bbb_3y,us_cpi_core_yoy,d20_yh_dxy,d20_dxy_broad,ret20_usdkrw,z60_dxy_broad,z60_sp_indfin_1y,z60_slope_10y3y,kr_price_cpi_total_mom,d20_yh_gold,vol20_ktb_10y,z60_us_bei_5y5y,z60_yh_dxy,ret20_eurkrw,d20_sp_indfin_1y,d5_bfly_3_5_10,d20_us_spr_10_30,z252_cd_base_spread,d5_yh_dxy,z60_ktb_20y,d20_sp_kepco_5y,z252_ktb_1y,d5_slope_10y3y ..."
ktb_10y,L12W_F4W_R63d_T0bp_S0.0,80,"z252_ktb_10y,vol20_ktb_5y,d60_ktb_20y,d20_usdkrw_range,z252_ktb_5y,z252_cd_base_spread,z252_ktb_20y,d60_ktb_30y,z60_sp_kepco_5y,z252_ktb_1y,z60_sp_corp_aa_3y,z60_ktb_30y,z60_sp_indfin_1y,ret20_usdkrw,kr_price_cpi_total_mom,vol20_ktb_3y,kr_price_ppi_total_mom,us_indpro_lvl,d60_cd_base_spread,z60_dxy_broad,lvl_vixcls,z60_cd_base_spread,d20_yh_gold,d60_ktb_10y,z60_sp_corp_bbb_3y ..."
ktb_30y,L12W_F4W_R63d_T0bp_S0.0,80,"vol20_ktb_3y,z252_cd_base_spread,d60_ktb_30y,d20_usdkrw_range,sp_corp_aa_3y,d60_slope_10y3y,z60_dxy_broad,z60_sp_corp_aa_3y,z60_yh_dxy,slope_10y3y,slope_30y5y,d20_slope_30y5y,sp_kepco_5y,z252_us_spr_10_30,us_cpi_yoy,z252_ktb_3y,z60_wti,fgn_kospi_cum20,z60_brent,z252_us_spr_2_10,lvl_us_spr_10_30,ret20_jpykrw,kr_sent_csi_total_lvl,d60_bfly_3_5_10,z60_sp_kepco_5y ..."
ktb_3y,L12W_F4W_R63d_T0bp_S0.0,80,"d60_ktb_1y,z252_ktb_1y,z252_cd_base_spread,lvl_usdkrw,z60_sp_corp_bbb_3y,z60_brent,z60_sp_kepco_5y,z60_us_bei_10y,z60_cd_base_spread,d60_ktb_3y,z60_cd_91d,d20_sp_corp_aa_3y,d20_us_ig_oas_xl,d20_wti,z252_ktb_10y,z60_us_ig_oas_xl,z60_kospi,d60_cd_91d,lvl_us_real_10y,z252_ktb3y_base_spread,z252_us_spr_2_10,d60_ktb3y_base_spread,z60_sp_indfin_1y,d20_sp_kepco_5y,z60_ktb3y_base_spread ..."
ktb_5y,L12W_F4W_R63d_T0bp_S0.0,80,"d60_ktb_3y,lvl_usdkrw,z60_ktb_1y,lvl_us_ig_oas_xl,vol20_ktb_5y,d20_yh_gold,z60_ktb_3y,sp_kepco_5y,z252_cd_base_spread,ret20_eurkrw,us_indpro_lvl,lvl_us_real_10y,d60_ktb_20y,d60_ktb_30y,z252_us_spr_2_10,fgn_kospi_cum20,sp_indfin_1y,z252_slope_10y3y,kr_growth_cli_lead_mom,sp_corp_aa_3y,z60_us_ig_oas_xl,z60_us_bei_5y5y,z60_yh_gold,z60_sp_corp_aa_3y,d20_yh_dxy ..."
spread_aa_3y,L12W_F4W_R63d_T0bp_S0.0,80,"d20_usdkrw_range,z60_cd_base_spread,z60_kospi,ret20_kospi,ret20_eurkrw,lvl_us_ig_oas_xl,z60_jpykrw,z60_sp_corp_aa_3y,z60_yh_gold,z60_us_bei_10y,d20_yh_dxy,d20_sp_corp_aa_3y,d20_brent,z60_slope_30y10y,vol20_ktb_10y,fgn_kospi_cum20,z60_bfly_3_5_10,kr_growth_ip_total_yoy,d20_dxy_broad,sp_indfin_1y,z60_sp_corp_bbb_3y,z60_sp_indfin_1y,ret1_sp500,kr_growth_ip_total_mom,sp_kepco_5y ..."
