run_id,target,lookback_weeks,forward_weeks,retrain_days,target_thr_bp,regime_strength_min,lookback_days,forward_days,period,n_persist
L20W_F2W_R63d_T0bp_S0.0,us_spr_10_30,20,2,63,0.0,0.0,100,10,quarter,4086
L20W_F2W_R63d_T0bp_S0.0,us_spr_2_10,20,2,63,0.0,0.0,100,10,quarter,4086
L20W_F2W_R63d_T0bp_S0.0,us_spr_5_30,20,2,63,0.0,0.0,100,10,quarter,4086
L20W_F2W_R63d_T10bp_S0.0,ktb_10y,20,2,63,10.0,0.0,100,10,quarter,1484
L20W_F2W_R63d_T10bp_S0.0,ktb_30y,20,2,63,10.0,0.0,100,10,quarter,1140
L20W_F2W_R63d_T10bp_S0.0,ktb_3y,20,2,63,10.0,0.0,100,10,quarter,1143
L20W_F2W_R63d_T10bp_S0.0,ktb_5y,20,2,63,10.0,0.0,100,10,quarter,1387
L20W_F2W_R63d_T10bp_S0.0,spread_ktb_3_10,20,2,63,10.0,0.0,100,10,quarter,354
L20W_F2W_R63d_T10bp_S0.0,spread_ktb_5_30,20,2,63,10.0,0.0,100,10,quarter,278
L20W_F2W_R63d_T10bp_S0.0,us_10y_xl,20,2,63,10.0,0.0,100,10,quarter,1983
L20W_F2W_R63d_T10bp_S0.0,us_ig_oas_xl,20,2,63,10.0,0.0,100,10,quarter,543
L20W_F2W_R63d_T10bp_S0.0,us_spr_10_30,20,2,63,10.0,0.0,100,10,quarter,298
L20W_F2W_R63d_T10bp_S0.0,us_spr_2_10,20,2,63,10.0,0.0,100,10,quarter,1154
L20W_F2W_R63d_T10bp_S0.0,us_spr_5_30,20,2,63,10.0,0.0,100,10,quarter,1045
L20W_F4W_R63d_T0bp_S0.0,ktb_10y,20,4,63,0.0,0.0,100,20,quarter,3857
L20W_F4W_R63d_T0bp_S0.0,ktb_30y,20,4,63,0.0,0.0,100,20,quarter,3257
L20W_F4W_R63d_T0bp_S0.0,ktb_3y,20,4,63,0.0,0.0,100,20,quarter,3857
L20W_F4W_R63d_T0bp_S0.0,ktb_5y,20,4,63,0.0,0.0,100,20,quarter,3857
L20W_F4W_R63d_T0bp_S0.0,spread_aa_3y,20,4,63,0.0,0.0,100,20,quarter,3857
L20W_F4W_R63d_T0bp_S0.0,spread_bbb_3y,20,4,63,0.0,0.0,100,20,quarter,3857
L20W_F4W_R63d_T0bp_S0.0,spread_kepco_5y,20,4,63,0.0,0.0,100,20,quarter,3857
L20W_F4W_R63d_T0bp_S0.0,spread_ktb_10_30,20,4,63,0.0,0.0,100,20,quarter,3257
L20W_F4W_R63d_T0bp_S0.0,spread_ktb_3_10,20,4,63,0.0,0.0,100,20,quarter,3857
L20W_F4W_R63d_T0bp_S0.0,spread_ktb_5_30,20,4,63,0.0,0.0,100,20,quarter,3257
L20W_F4W_R63d_T0bp_S0.0,us_10y_xl,20,4,63,0.0,0.0,100,20,quarter,4077
L20W_F4W_R63d_T0bp_S0.0,us_ig_oas_xl,20,4,63,0.0,0.0,100,20,quarter,4077
L20W_F4W_R63d_T0bp_S0.0,us_spr_10_30,20,4,63,0.0,0.0,100,20,quarter,4076
L20W_F4W_R63d_T0bp_S0.0,us_spr_2_10,20,4,63,0.0,0.0,100,20,quarter,4076
L20W_F4W_R63d_T0bp_S0.0,us_spr_5_30,20,4,63,0.0,0.0,100,20,quarter,4076
L20W_F4W_R63d_T10bp_S0.0,ktb_10y,20,4,63,10.0,0.0,100,20,quarter,2027
L20W_F4W_R63d_T10bp_S0.0,ktb_30y,20,4,63,10.0,0.0,100,20,quarter,1684
L20W_F4W_R63d_T10bp_S0.0,ktb_3y,20,4,63,10.0,0.0,100,20,quarter,1708
L20W_F4W_R63d_T10bp_S0.0,ktb_5y,20,4,63,10.0,0.0,100,20,quarter,1937
L20W_F4W_R63d_T10bp_S0.0,spread_aa_3y,20,4,63,10.0,0.0,100,20,quarter,442
L20W_F4W_R63d_T10bp_S0.0,spread_bbb_3y,20,4,63,10.0,0.0,100,20,quarter,514
L20W_F4W_R63d_T10bp_S0.0,spread_ktb_10_30,20,4,63,10.0,0.0,100,20,quarter,226
L20W_F4W_R63d_T10bp_S0.0,spread_ktb_3_10,20,4,63,10.0,0.0,100,20,quarter,735
L20W_F4W_R63d_T10bp_S0.0,spread_ktb_5_30,20,4,63,10.0,0.0,100,20,quarter,571
L20W_F4W_R63d_T10bp_S0.0,us_10y_xl,20,4,63,10.0,0.0,100,20,quarter,2493
L20W_F4W_R63d_T10bp_S0.0,us_ig_oas_xl,20,4,63,10.0,0.0,100,20,quarter,1155
L20W_F4W_R63d_T10bp_S0.0,us_spr_10_30,20,4,63,10.0,0.0,100,20,quarter,606
L20W_F4W_R63d_T10bp_S0.0,us_spr_2_10,20,4,63,10.0,0.0,100,20,quarter,1761
L20W_F4W_R63d_T10bp_S0.0,us_spr_5_30,20,4,63,10.0,0.0,100,20,quarter,1679
L4W_F2W_R63d_T0bp_S0.0,ktb_10y,4,2,63,0.0,0.0,20,10,quarter,3867
L4W_F2W_R63d_T0bp_S0.0,ktb_30y,4,2,63,0.0,0.0,20,10,quarter,3347
L4W_F2W_R63d_T0bp_S0.0,ktb_3y,4,2,63,0.0,0.0,20,10,quarter,3867
L4W_F2W_R63d_T0bp_S0.0,ktb_5y,4,2,63,0.0,0.0,20,10,quarter,3867
L4W_F2W_R63d_T0bp_S0.0,spread_aa_3y,4,2,63,0.0,0.0,20,10,quarter,3867
L4W_F2W_R63d_T0bp_S0.0,spread_bbb_3y,4,2,63,0.0,0.0,20,10,quarter,3867
L4W_F2W_R63d_T0bp_S0.0,spread_kepco_5y,4,2,63,0.0,0.0,20,10,quarter,3867
L4W_F2W_R63d_T0bp_S0.0,spread_ktb_10_30,4,2,63,0.0,0.0,20,10,quarter,3347
L4W_F2W_R63d_T0bp_S0.0,spread_ktb_3_10,4,2,63,0.0,0.0,20,10,quarter,3867
L4W_F2W_R63d_T0bp_S0.0,spread_ktb_5_30,4,2,63,0.0,0.0,20,10,quarter,3347
L4W_F2W_R63d_T0bp_S0.0,us_10y_xl,4,2,63,0.0,0.0,20,10,quarter,4087
L4W_F2W_R63d_T0bp_S0.0,us_ig_oas_xl,4,2,63,0.0,0.0,20,10,quarter,4087
L4W_F2W_R63d_T0bp_S0.0,us_spr_10_30,4,2,63,0.0,0.0,20,10,quarter,4086
L4W_F2W_R63d_T0bp_S0.0,us_spr_2_10,4,2,63,0.0,0.0,20,10,quarter,4086
L4W_F2W_R63d_T0bp_S0.0,us_spr_5_30,4,2,63,0.0,0.0,20,10,quarter,4086
L4W_F2W_R63d_T10bp_S0.0,ktb_10y,4,2,63,10.0,0.0,20,10,quarter,1484
L4W_F2W_R63d_T10bp_S0.0,ktb_30y,4,2,63,10.0,0.0,20,10,quarter,1163
L4W_F2W_R63d_T10bp_S0.0,ktb_3y,4,2,63,10.0,0.0,20,10,quarter,1143
L4W_F2W_R63d_T10bp_S0.0,ktb_5y,4,2,63,10.0,0.0,20,10,quarter,1387
L4W_F2W_R63d_T10bp_S0.0,spread_ktb_3_10,4,2,63,10.0,0.0,20,10,quarter,354
L4W_F2W_R63d_T10bp_S0.0,spread_ktb_5_30,4,2,63,10.0,0.0,20,10,quarter,280
L4W_F2W_R63d_T10bp_S0.0,us_10y_xl,4,2,63,10.0,0.0,20,10,quarter,1983
L4W_F2W_R63d_T10bp_S0.0,us_ig_oas_xl,4,2,63,10.0,0.0,20,10,quarter,543
L4W_F2W_R63d_T10bp_S0.0,us_spr_10_30,4,2,63,10.0,0.0,20,10,quarter,298
L4W_F2W_R63d_T10bp_S0.0,us_spr_2_10,4,2,63,10.0,0.0,20,10,quarter,1154
L4W_F2W_R63d_T10bp_S0.0,us_spr_5_30,4,2,63,10.0,0.0,20,10,quarter,1045
L4W_F4W_R63d_T0bp_S0.0,ktb_10y,4,4,63,0.0,0.0,20,20,quarter,3857
L4W_F4W_R63d_T0bp_S0.0,ktb_30y,4,4,63,0.0,0.0,20,20,quarter,3337
L4W_F4W_R63d_T0bp_S0.0,ktb_3y,4,4,63,0.0,0.0,20,20,quarter,3857
L4W_F4W_R63d_T0bp_S0.0,ktb_5y,4,4,63,0.0,0.0,20,20,quarter,3857
L4W_F4W_R63d_T0bp_S0.0,spread_aa_3y,4,4,63,0.0,0.0,20,20,quarter,3857
L4W_F4W_R63d_T0bp_S0.0,spread_bbb_3y,4,4,63,0.0,0.0,20,20,quarter,3857
L4W_F4W_R63d_T0bp_S0.0,spread_kepco_5y,4,4,63,0.0,0.0,20,20,quarter,3857
L4W_F4W_R63d_T0bp_S0.0,spread_ktb_10_30,4,4,63,0.0,0.0,20,20,quarter,3337
L4W_F4W_R63d_T0bp_S0.0,spread_ktb_3_10,4,4,63,0.0,0.0,20,20,quarter,3857
L4W_F4W_R63d_T0bp_S0.0,spread_ktb_5_30,4,4,63,0.0,0.0,20,20,quarter,3337
L4W_F4W_R63d_T0bp_S0.0,us_10y_xl,4,4,63,0.0,0.0,20,20,quarter,4077
L4W_F4W_R63d_T0bp_S0.0,us_ig_oas_xl,4,4,63,0.0,0.0,20,20,quarter,4077
L4W_F4W_R63d_T0bp_S0.0,us_spr_10_30,4,4,63,0.0,0.0,20,20,quarter,4076
L4W_F4W_R63d_T0bp_S0.0,us_spr_2_10,4,4,63,0.0,0.0,20,20,quarter,4076
L4W_F4W_R63d_T0bp_S0.0,us_spr_5_30,4,4,63,0.0,0.0,20,20,quarter,4076
L4W_F4W_R63d_T10bp_S0.0,ktb_10y,4,4,63,10.0,0.0,20,20,quarter,2027
L4W_F4W_R63d_T10bp_S0.0,ktb_30y,4,4,63,10.0,0.0,20,20,quarter,1726
L4W_F4W_R63d_T10bp_S0.0,ktb_3y,4,4,63,10.0,0.0,20,20,quarter,1708
L4W_F4W_R63d_T10bp_S0.0,ktb_5y,4,4,63,10.0,0.0,20,20,quarter,1937
L4W_F4W_R63d_T10bp_S0.0,spread_aa_3y,4,4,63,10.0,0.0,20,20,quarter,442
L4W_F4W_R63d_T10bp_S0.0,spread_bbb_3y,4,4,63,10.0,0.0,20,20,quarter,514
L4W_F4W_R63d_T10bp_S0.0,spread_ktb_10_30,4,4,63,10.0,0.0,20,20,quarter,234
L4W_F4W_R63d_T10bp_S0.0,spread_ktb_3_10,4,4,63,10.0,0.0,20,20,quarter,735
L4W_F4W_R63d_T10bp_S0.0,spread_ktb_5_30,4,4,63,10.0,0.0,20,20,quarter,595
L4W_F4W_R63d_T10bp_S0.0,us_10y_xl,4,4,63,10.0,0.0,20,20,quarter,2493
L4W_F4W_R63d_T10bp_S0.0,us_ig_oas_xl,4,4,63,10.0,0.0,20,20,quarter,1155
L4W_F4W_R63d_T10bp_S0.0,us_spr_10_30,4,4,63,10.0,0.0,20,20,quarter,606
L4W_F4W_R63d_T10bp_S0.0,us_spr_2_10,4,4,63,10.0,0.0,20,20,quarter,1761
L4W_F4W_R63d_T10bp_S0.0,us_spr_5_30,4,4,63,10.0,0.0,20,20,quarter,1679
L8W_F2W_R63d_T0bp_S0.0,ktb_10y,8,2,63,0.0,0.0,40,10,quarter,3867
L8W_F2W_R63d_T0bp_S0.0,ktb_30y,8,2,63,0.0,0.0,40,10,quarter,3327
L8W_F2W_R63d_T0bp_S0.0,ktb_3y,8,2,63,0.0,0.0,40,10,quarter,3867
L8W_F2W_R63d_T0bp_S0.0,ktb_5y,8,2,63,0.0,0.0,40,10,quarter,3867
L8W_F2W_R63d_T0bp_S0.0,spread_aa_3y,8,2,63,0.0,0.0,40,10,quarter,3867
L8W_F2W_R63d_T0bp_S0.0,spread_bbb_3y,8,2,63,0.0,0.0,40,10,quarter,3867
L8W_F2W_R63d_T0bp_S0.0,spread_kepco_5y,8,2,63,0.0,0.0,40,10,quarter,3867
L8W_F2W_R63d_T0bp_S0.0,spread_ktb_10_30,8,2,63,0.0,0.0,40,10,quarter,3327
L8W_F2W_R63d_T0bp_S0.0,spread_ktb_3_10,8,2,63,0.0,0.0,40,10,quarter,3867
L8W_F2W_R63d_T0bp_S0.0,spread_ktb_5_30,8,2,63,0.0,0.0,40,10,quarter,3327
L8W_F2W_R63d_T0bp_S0.0,us_10y_xl,8,2,63,0.0,0.0,40,10,quarter,4087
L8W_F2W_R63d_T0bp_S0.0,us_ig_oas_xl,8,2,63,0.0,0.0,40,10,quarter,4087
L8W_F2W_R63d_T0bp_S0.0,us_spr_10_30,8,2,63,0.0,0.0,40,10,quarter,4086
L8W_F2W_R63d_T0bp_S0.0,us_spr_2_10,8,2,63,0.0,0.0,40,10,quarter,4086
L8W_F2W_R63d_T0bp_S0.0,us_spr_5_30,8,2,63,0.0,0.0,40,10,quarter,4086
L8W_F2W_R63d_T10bp_S0.0,ktb_10y,8,2,63,10.0,0.0,40,10,quarter,1484
L8W_F2W_R63d_T10bp_S0.0,ktb_30y,8,2,63,10.0,0.0,40,10,quarter,1160
L8W_F2W_R63d_T10bp_S0.0,ktb_3y,8,2,63,10.0,0.0,40,10,quarter,1143
L8W_F2W_R63d_T10bp_S0.0,ktb_5y,8,2,63,10.0,0.0,40,10,quarter,1387
L8W_F2W_R63d_T10bp_S0.0,spread_ktb_3_10,8,2,63,10.0,0.0,40,10,quarter,354
L8W_F2W_R63d_T10bp_S0.0,spread_ktb_5_30,8,2,63,10.0,0.0,40,10,quarter,279
L8W_F2W_R63d_T10bp_S0.0,us_10y_xl,8,2,63,10.0,0.0,40,10,quarter,1983
L8W_F2W_R63d_T10bp_S0.0,us_ig_oas_xl,8,2,63,10.0,0.0,40,10,quarter,543
L8W_F2W_R63d_T10bp_S0.0,us_spr_10_30,8,2,63,10.0,0.0,40,10,quarter,298
L8W_F2W_R63d_T10bp_S0.0,us_spr_2_10,8,2,63,10.0,0.0,40,10,quarter,1154
L8W_F2W_R63d_T10bp_S0.0,us_spr_5_30,8,2,63,10.0,0.0,40,10,quarter,1045
L8W_F4W_R63d_T0bp_S0.0,ktb_10y,8,4,63,0.0,0.0,40,20,quarter,3857
L8W_F4W_R63d_T0bp_S0.0,ktb_30y,8,4,63,0.0,0.0,40,20,quarter,3317
L8W_F4W_R63d_T0bp_S0.0,ktb_3y,8,4,63,0.0,0.0,40,20,quarter,3857
L8W_F4W_R63d_T0bp_S0.0,ktb_5y,8,4,63,0.0,0.0,40,20,quarter,3857
L8W_F4W_R63d_T0bp_S0.0,spread_aa_3y,8,4,63,0.0,0.0,40,20,quarter,3857
L8W_F4W_R63d_T0bp_S0.0,spread_bbb_3y,8,4,63,0.0,0.0,40,20,quarter,3857
L8W_F4W_R63d_T0bp_S0.0,spread_kepco_5y,8,4,63,0.0,0.0,40,20,quarter,3857
L8W_F4W_R63d_T0bp_S0.0,spread_ktb_10_30,8,4,63,0.0,0.0,40,20,quarter,3317
L8W_F4W_R63d_T0bp_S0.0,spread_ktb_3_10,8,4,63,0.0,0.0,40,20,quarter,3857
L8W_F4W_R63d_T0bp_S0.0,spread_ktb_5_30,8,4,63,0.0,0.0,40,20,quarter,3317
L8W_F4W_R63d_T0bp_S0.0,us_10y_xl,8,4,63,0.0,0.0,40,20,quarter,4077
L8W_F4W_R63d_T0bp_S0.0,us_ig_oas_xl,8,4,63,0.0,0.0,40,20,quarter,4077
L8W_F4W_R63d_T0bp_S0.0,us_spr_10_30,8,4,63,0.0,0.0,40,20,quarter,4076
L8W_F4W_R63d_T0bp_S0.0,us_spr_2_10,8,4,63,0.0,0.0,40,20,quarter,4076
L8W_F4W_R63d_T0bp_S0.0,us_spr_5_30,8,4,63,0.0,0.0,40,20,quarter,4076
L8W_F4W_R63d_T10bp_S0.0,ktb_10y,8,4,63,10.0,0.0,40,20,quarter,2027
L8W_F4W_R63d_T10bp_S0.0,ktb_30y,8,4,63,10.0,0.0,40,20,quarter,1712
L8W_F4W_R63d_T10bp_S0.0,ktb_3y,8,4,63,10.0,0.0,40,20,quarter,1708
L8W_F4W_R63d_T10bp_S0.0,ktb_5y,8,4,63,10.0,0.0,40,20,quarter,1937
L8W_F4W_R63d_T10bp_S0.0,spread_aa_3y,8,4,63,10.0,0.0,40,20,quarter,442
L8W_F4W_R63d_T10bp_S0.0,spread_bbb_3y,8,4,63,10.0,0.0,40,20,quarter,514
L8W_F4W_R63d_T10bp_S0.0,spread_ktb_10_30,8,4,63,10.0,0.0,40,20,quarter,226
L8W_F4W_R63d_T10bp_S0.0,spread_ktb_3_10,8,4,63,10.0,0.0,40,20,quarter,735
L8W_F4W_R63d_T10bp_S0.0,spread_ktb_5_30,8,4,63,10.0,0.0,40,20,quarter,588
L8W_F4W_R63d_T10bp_S0.0,us_10y_xl,8,4,63,10.0,0.0,40,20,quarter,2493
L8W_F4W_R63d_T10bp_S0.0,us_ig_oas_xl,8,4,63,10.0,0.0,40,20,quarter,1155
L8W_F4W_R63d_T10bp_S0.0,us_spr_10_30,8,4,63,10.0,0.0,40,20,quarter,606
L8W_F4W_R63d_T10bp_S0.0,us_spr_2_10,8,4,63,10.0,0.0,40,20,quarter,1761
L8W_F4W_R63d_T10bp_S0.0,us_spr_5_30,8,4,63,10.0,0.0,40,20,quarter,1679
