target,run_id,lookback_weeks,forward_weeks,retrain_days,target_thr_bp,regime_strength_min,direction,model,n,pos_rate,accuracy,precision,recall,f1,auc,hit@60,cov@60,hit@70,cov@70,composite,hpo_best_auc,wf_time_s,ensemble_mode
us_spr_2_10,L20W_F2W_R63d_T10bp_S0.0,20,2,63,10.0,0.0,persist,lgbm,361,0.9002770083102493,0.8919667590027701,0.9205882352941176,0.963076923076923,0.9413533834586466,0.7397435897435898,0.913312693498452,0.8947368421052632,0.9375,0.7977839335180056,1.3442431990908446,0.6308080808080808,3.5682804584503174,
us_spr_2_10,L20W_F2W_R63d_T10bp_S0.0,20,2,63,10.0,0.0,persist,logreg,361,0.9002770083102493,0.7285318559556787,0.9382239382239382,0.7476923076923077,0.8321917808219178,0.7005128205128205,0.7386363636363636,0.9750692520775623,0.7427745664739884,0.9584487534626038,1.205037289580226,0.6744949494949495,1.275625467300415,
us_spr_2_10,L20W_F2W_R63d_T10bp_S0.0,20,2,63,10.0,0.0,persist,rf,361,0.9002770083102493,0.9002770083102493,0.9002770083102493,1.0,0.9475218658892128,0.5716239316239317,0.9090909090909091,0.9750692520775623,0.9072847682119205,0.8365650969529086,1.0783265856950068,0.7058080808080809,10.187071800231934,
us_spr_2_10,L20W_F2W_R63d_T10bp_S0.0,20,2,63,10.0,0.0,persist,xgb,361,0.9002770083102493,0.8808864265927978,0.9122807017543859,0.96,0.9355322338830585,0.6715384615384614,0.911042944785276,0.9030470914127424,0.9385665529010239,0.8116343490304709,1.224023012998082,0.5963383838383838,19.65816307067871,
us_spr_2_10,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,ensemble,2170,0.8894009216589862,0.8626728110599078,0.9176049129989765,0.9290155440414508,0.923274974253347,0.6703173575129533,0.895619253650622,0.852073732718894,0.9155927835051546,0.7152073732718894,1.1818590828776772,,,weighted
us_spr_2_10,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,et,2170,0.8894009216589862,0.8852534562211981,0.9146521953626048,0.960621761658031,0.9370735405610311,0.6669602763385147,0.9033766233766234,0.8870967741935484,0.9146264908976773,0.7341013824884792,1.2014505623074903,0.5977551594109836,63.416582345962524,
us_spr_2_10,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,gbm,2170,0.8894009216589862,0.8635944700460829,0.9032576505429417,0.9481865284974094,0.9251769464105156,0.6638385146804835,0.8824963432471965,0.9451612903225807,0.895483193277311,0.8774193548387097,1.2175471375245734,0.572859635074103,466.5235176086426,
us_spr_2_10,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,lgbm,2170,0.8894009216589862,0.8488479262672811,0.9120370370370371,0.9186528497409326,0.9153329891584925,0.6630094991364421,0.8857589984350548,0.883410138248848,0.8991545893719807,0.7631336405529954,1.1818067938524233,0.6059559132202833,15.381860733032227,
us_spr_2_10,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,logreg,2170,0.8894009216589862,0.6267281105990783,0.9063860667634253,0.6471502590673575,0.7551390568319226,0.60323402417962,0.6936671575846833,0.6258064516129033,0.7835365853658537,0.30230414746543777,0.8650987480400818,0.539094149869076,2.058483600616455,
us_spr_2_10,L20W_F4W_R63d_T0bp_S0.0,20,4,63,0.0,0.0,persist,rf,2170,0.8894009216589862,0.8179723502304147,0.9214717188358045,0.8694300518134715,0.8946947480671821,0.6667271157167529,0.872163807415606,0.8327188940092166,0.8967391304347826,0.6783410138248848,1.1509492052879984,0.6285585333766303,127.38320231437683,
