target,horizon,model,n,pos_rate,accuracy,precision,recall,f1,auc,hit@60,cov@60,hit@70,cov@70,composite
spread_bbb_3y,20,et,1548,0.4689922480620155,0.5878552971576227,0.545929018789144,0.7203856749311295,0.6211401425178147,0.6545481356363904,0.6409227683049148,0.6440568475452196,0.6935779816513762,0.3520671834625323,0.9247395172072259
spread_bbb_3y,20,gbm,1548,0.4689922480620155,0.5794573643410853,0.5423728813559322,0.6611570247933884,0.595903165735568,0.599276608151857,0.581787521079258,0.7661498708010336,0.5946632782719187,0.5083979328165374,0.8663960265141188
spread_bbb_3y,20,lgbm,1548,0.4689922480620155,0.5833333333333334,0.5415384615384615,0.7272727272727273,0.6208112874779541,0.6387347261600745,0.6,0.8688630490956072,0.6177504393673111,0.7351421188630491,0.9717185272008886
spread_bbb_3y,20,logreg,1548,0.4689922480620155,0.5536175710594315,0.5222929936305732,0.5647382920110193,0.542686962276638,0.5826144658261447,0.5632424877707897,0.9244186046511628,0.5686578743211792,0.832687338501292,0.885965408627096
spread_bbb_3y,20,rf,1548,0.4689922480620155,0.6195090439276486,0.5761957730812013,0.7134986225895317,0.6375384615384615,0.6645787671003331,0.6526610644257703,0.6918604651162791,0.7416879795396419,0.2525839793281654,0.964669566973158
spread_bbb_3y,20,xgb,1548,0.4689922480620155,0.5949612403100775,0.5481986368062317,0.7754820936639119,0.6423274386765545,0.6276199285489266,0.6018168054504164,0.853359173126615,0.6064638783269962,0.6795865633074936,0.9499441166602939
spread_kepco_5y,10,ensemble,962,0.4885654885654886,0.606029106029106,0.5813953488372093,0.6914893617021277,0.6316812439261419,0.6431153779622902,0.642754662840746,0.7245322245322245,0.6598639455782312,0.4584199584199584,0.9426119365143755
spread_kepco_5y,10,et,962,0.4885654885654886,0.581081081081081,0.5576592082616179,0.6893617021276596,0.6165556612749762,0.6075246497145822,0.6075,0.4158004158004158,0.6842105263157895,0.059251559251559255,0.7609846184054797
spread_kepco_5y,10,gbm,962,0.4885654885654886,0.6216216216216216,0.594306049822064,0.7106382978723405,0.6472868217054264,0.6537061062099983,0.6319444444444444,0.7484407484407485,0.6631130063965884,0.4875259875259875,0.9628914267147272
spread_kepco_5y,10,lgbm,962,0.4885654885654886,0.632016632016632,0.6070110701107011,0.7,0.650197628458498,0.6604869399757828,0.651307596513076,0.8347193347193347,0.6575757575757576,0.6860706860706861,1.0195666381123052
spread_kepco_5y,10,logreg,962,0.4885654885654886,0.5498960498960499,0.5364891518737672,0.5787234042553191,0.5568065506653019,0.5819105691056911,0.5506912442396313,0.9022869022869023,0.5513157894736842,0.7900207900207901,0.8710511637340906
spread_kepco_5y,10,rf,962,0.4885654885654886,0.5852390852390852,0.5619546247818499,0.6851063829787234,0.6174496644295302,0.6254670472236638,0.6392405063291139,0.49272349272349275,0.7611940298507462,0.06964656964656965,0.822469661889745
spread_kepco_5y,10,xgb,962,0.4885654885654886,0.6268191268191268,0.6003616636528029,0.7063829787234043,0.6490713587487781,0.6538055699705934,0.6419597989949749,0.8274428274428275,0.6553398058252428,0.6424116424116424,1.00109730204437
spread_kepco_5y,20,ensemble,1548,0.4903100775193798,0.5768733850129198,0.5597701149425287,0.6416337285902504,0.5979128299570289,0.6182973728022497,0.6023890784982935,0.7571059431524548,0.6327543424317618,0.520671834625323,0.900285709493715
spread_kepco_5y,20,et,1548,0.4903100775193798,0.5587855297157622,0.5427927927927928,0.6350461133069829,0.5853066180935034,0.5998019540753877,0.6078431372549019,0.4941860465116279,0.6368715083798883,0.11563307493540052,0.7799750216755527
spread_kepco_5y,20,gbm,1548,0.4903100775193798,0.582687338501292,0.5634118967452301,0.6613965744400527,0.6084848484848485,0.6190838789615447,0.5973920130399348,0.7926356589147286,0.6114864864864865,0.5736434108527132,0.9122288939995371
spread_kepco_5y,20,lgbm,1548,0.4903100775193798,0.5878552971576227,0.570926143024619,0.6416337285902504,0.6042183622828784,0.6227442218515122,0.6008836524300442,0.8772609819121447,0.6195939982347749,0.7319121447028424,0.9510124938352551
spread_kepco_5y,20,logreg,1548,0.4903100775193798,0.5562015503875969,0.54,0.6403162055335968,0.5858951175406871,0.5540176103905646,0.559774964838256,0.9186046511627907,0.5525691699604743,0.8171834625322998,0.8389000508756352
spread_kepco_5y,20,rf,1548,0.4903100775193798,0.5917312661498708,0.5714285714285714,0.6693017127799736,0.616504854368932,0.6053676123109087,0.5907990314769975,0.5335917312661499,0.6822916666666666,0.12403100775193798,0.7962070146414795
spread_kepco_5y,20,xgb,1548,0.4903100775193798,0.5813953488372093,0.5666266506602641,0.621870882740448,0.592964824120603,0.6201826497743178,0.59625468164794,0.8624031007751938,0.6052631578947368,0.7118863049095607,0.9390879399683468
spread_ktb_10_30,10,ensemble,962,0.4896049896049896,0.5467775467775468,0.5404157043879908,0.4968152866242038,0.5176991150442478,0.5686129524649638,0.5701492537313433,0.6964656964656964,0.585635359116022,0.3762993762993763,0.7944031269364983
spread_ktb_10_30,10,et,962,0.4896049896049896,0.5187110187110187,0.5078740157480315,0.5477707006369427,0.5270684371807968,0.5550914334885692,0.6441441441441441,0.23076923076923078,,0.002079002079002079,0.6376050249530862
spread_ktb_10_30,10,gbm,962,0.4896049896049896,0.5582120582120582,0.543233082706767,0.613588110403397,0.576271186440678,0.5685826836345083,0.5546492659053833,0.6372141372141372,0.5971731448763251,0.29417879417879417,0.7695370624658313
spread_ktb_10_30,10,lgbm,962,0.4896049896049896,0.5415800415800416,0.5306122448979592,0.5520169851380042,0.5411030176899063,0.559973363429199,0.5454545454545454,0.8118503118503119,0.5515463917525774,0.604989604989605,0.8079449360080335
spread_ktb_10_30,10,logreg,962,0.4896049896049896,0.5540540540540541,0.5648148148148148,0.3885350318471338,0.46037735849056605,0.5591734014814431,0.5565509518477044,0.9282744282744283,0.5617283950617284,0.841995841995842,0.8480602835357853
spread_ktb_10_30,10,rf,962,0.4896049896049896,0.5374220374220374,0.5248091603053435,0.583864118895966,0.5527638190954773,0.5603495617505762,0.6306620209059234,0.2983367983367983,0.6363636363636364,0.011434511434511435,0.6657791570487616
spread_ktb_10_30,10,xgb,962,0.4896049896049896,0.5415800415800416,0.5297619047619048,0.5668789808917197,0.5476923076923077,0.5637872360666087,0.5588235294117647,0.7775467775467776,0.5722326454033771,0.5540540540540541,0.8087592367691476
spread_ktb_10_30,20,ensemble,1548,0.5071059431524548,0.5613695090439277,0.5710455764075067,0.5426751592356688,0.5564990202482037,0.5617316826806689,0.5571687840290381,0.7118863049095607,0.5478645066273933,0.43863049095607237,0.7845374017801072
